Hex Representation, Visits, Green Win Rate
0d02011000000000302000000000404a00, 17, 0.4117647
0d05060000200020301000000000000002, 32, 0.46875
0d02080000100010306000000000004200, 21, 0.52380955
0d02000000000008304001000080100201, 12, 0.5
0d00090400000000302800000001000201, 1, 0
0d00090400000000302800000000400201, 41, 0.46341464
0d010020000000a0300000000110000102, 31, 0.48387095
0d08000000000040302000000080044201, 22, 0.54545456
0d84020000000024309400000000000000, 43, 0.60465115
0d01140000000020308000000000800102, 46, 0.4347826
0d85020000000024309000000000000000, 49, 0.48979592
0d85020000000020309400000000000000, 48, 0.45833334
0d42080400100010300000000000000a00, 32, 0.53125
0d05420004000080320000000000000002, 3, 0.6666667
0d42010100000000300a00000000000201, 45, 0.51111114
0d04420004000080320000000000000102, 4, 0.25
0d05020004000080320000000000000102, 16, 0.75
0d02000000000010302000004881000001, 3, 0.33333334
0d01520000000084300000000000200002, 7, 0.2857143
0d00200000000050302801000000000201, 69, 0.49275362
0d01060800000020300000000040200100, 114, 0.5701754
0d00020800000080301000100000010102, 2, 0
0d00520000000084301000000000200002, 12, 0.33333334
0d0a011000000040302800000000100000, 50, 0.54
0d0a011000000040302800000000000001, 70, 0.54285717
0d00010400000000302800000000400a01, 41, 0.46341464
0d02210000000058302000000000100000, 74, 0.5810811
0d0a001000000040302800000000100001, 19, 0.31578946
0d00010000000040312800000000000a01, 49, 0.5714286
0d00010000000010312800000000000a01, 36, 0.5
0d0a000000000050312800000000000001, 23, 0.65217394
0d01122004000000301000000000200002, 29, 0.44827586
0d0a210000000000302000004000140000, 21, 0.52380955
0d00000540000010302000000080000a00, 8, 0.375
0d02010000000048312800000000000001, 31, 0.48387095
0d010000000000a1308400000000000102, 53, 0.5849057
0d01022800000000301000000500000002, 21, 0.52380955
0d80021800040004300000000000000102, 16, 0.6875
0d00020000000000300000100004608102, 15, 0.6666667
0d010000002000a0301000400010000002, 28, 0.53571427
0d02010000000000304000000090000a01, 12, 0.6666667
0d01020000000000300000000004608102, 8, 0.5
0d02010000000040312001000020000200, 22, 0.6363636
0d02010000000000302000004000040a01, 8, 0.75
0d01020000000020301400040000800002, 16, 0.3125
0d01120004200020301000000000000002, 34, 0.5882353
0d02080000400050312000000000000200, 2, 0
0d00020000200020301000100140000002, 12, 0.41666666
0d02010000110010302000200000000200, 11, 0.45454547
0d01020000000020300000000040810102, 45, 0.4888889
0d02090500000000302000000000400200, 26, 0.5769231
0d00520000000020308000000010000102, 30, 0.56666666
0d01120000000020308000000010000102, 24, 0.45833334
0d01420000000020308000000010000102, 11, 0.6363636
0d02000000400050302000000000000a01, 17, 0.4117647
0d4a000000000050302001000000000200, 10, 0.4
0d00022000000024301000100040000002, 35, 0.4857143
0d01120000000020300000000000008502, 71, 0.5070422
0d04060000200020301400000000000002, 9, 0.44444445
0d81060000000020300000000040000102, 55, 0.4909091
0d00000000000000306000200000404a01, 12, 0.41666666
0d02080000100010304000000020000201, 17, 0.29411766
0d00000000000020309000100010008102, 18, 0.3888889
0d00022000000004300000100000800502, 1, 0
0d00000000000010306000200000004a01, 30, 0.4
0d42200400000000300000200000004201, 44, 0.47727272
0d42000000000018300000000080104200, 53, 0.509434
0d02210000000040302000000000400801, 73, 0.5068493
0d02010000100010302800000020400000, 43, 0.41860464
0d00002000200024301000100004000002, 1, 0
0d42011000000018300000000000000a00, 57, 0.5614035
0d85004000000020300000000000800102, 1, 0
0d80020000000000309000000010001402, 3, 0.6666667
0d01060000000000300000000140208002, 21, 0.5714286
0d05000000000021301000000000a00002, 3, 0
0d0a210400000000300000000000400201, 53, 0.509434
0d00010500100008302800000000000200, 10, 0.3
0d42090100000000302000000000100200, 23, 0.47826087
0d02011000000050302000200000000200, 79, 0.5443038
0d0a000000500000302000000000100201, 32, 0.5625
0d80020000000021301000000040000102, 9, 0.44444445
0d02291400000000306000000000000000, 35, 0.4857143
0d02291400000010302000000000000000, 29, 0.44827586
0d00000000000024301000000050a00002, 21, 0.33333334
0d02090400100040302000000000000200, 34, 0.44117647
0d00120000000020309000000050000002, 42, 0.47619048
0d02010000000010302000200000500200, 67, 0.5074627
0d02001000000018302000000000100201, 30, 0.56666666
0d81020000200020300000150000000000, 3, 0
0d04400010000020309000000000008002, 7, 0.2857143
0d0a010000000018302000000000044000, 48, 0.6041667
0d02081000004010300000000020000201, 13, 0.46153846
0d0a010000000018302000001000040000, 9, 0.33333334
0d02010000000000302800240001400000, 3, 0
0d000400006000a0301000000000000102, 8, 0.375
0d01020000000000301000000000258002, 7, 0.2857143
0d000400012000a0301000000000000102, 14, 0.2857143
0d01020000000000300000000000258402, 13, 0.53846157
0d00160001000020300000000000008102, 7, 0.14285715
0d00020000200025300400000000000102, 14, 0.5
0d01020000000020308400100000000102, 77, 0.5064935
0d04420000000020301000000000800102, 22, 0.3181818
0d02000500000010302000000020000201, 72, 0.5416667
0d85064000200020300000000000000000, 2, 0
0d02090000100010300000400020000200, 7, 0.71428573
0d0a011000040018302000000000000000, 34, 0.5294118
0d94060000200020300000000000000100, 6, 0.8333333
0d02200000400050304800000000000200, 2, 0
0d02210500000000302000000080000001, 113, 0.54867256
0d42000400010010302800000080000000, 23, 0.65217394
0d42010000010010302800000080000000, 2, 0
0d42010400000010302800000020000000, 32, 0.5
